CHROM position lle.ratio gname
chr1 23960407 77.2180904329916 PNRC2
chr1 23973748 83.9960128941432 SRSF10
chr1 145723422 128.196377630708 CD160
chr1 145774009 129.748743796252 RNF115
chr1 145829395 125.269755476995 POLR3C
chr1 145850292 123.399470144968 PIAS3
chr1 145883633 125.535728928834 ANKRD35
chr1 145887006 125.183660876624 LOC107985593
chr1 145900204 127.816676201909 ITGA10
chr1 145914309 126.2975440789 PEX11B
chr1 145935920 119.393862920392 LIX1L-AS1
chr1 145946187 126.356940319721 LIX1L
chr1 145992734 126.798552627748 TXNIP
chr1 206068452 125.652840668481 LOC105372857
chr1 206074682 129.283964979643 RHEX
chr1 206107298 123.944605213733 AVPR1B
chr1 206131659 129.984536604311 LOC105372869
chr10 17874253 103.41100056252 MRC1
chr10 46003541 127.824227791058 TIMM23
chr10 46009955 124.980094683442 NCOA4
chr10 46031383 126.663021144458 LOC105378287
chr10 46034314 116.297765434598 MSMB
chr10 47001538 126.433055328537 PTPN20
chr10 47204730 124.443533998618 LOC105378291
chr10 47231371 129.984536604311 LOC101929216
chr10 47307393 125.343821756757 GDF10
chr10 47353189 120.986531028548 RBP3
chr10 50210525 88.369099943563 ASAH2
chr22 16785735 71.6499142407866 XKR3
chr22 25057587 54.118988503201 KIAA1671
chr3 53812050 48.641752369421 CACNA1D
chr3 53824959 55.9955751016718 CHDH
chr3 53876091 86.2327058107741 ACTR8
chr5 16843926 88.4983587181525 MYO10
chr6 157240816 124.790747462727 LOC105378075
chr8 42923937 73.0476358074808 HOOK3
chr8 43096993 78.4017700172142 POMK
chr8 43141591 80.6779958916563 HGSNAT
chr8 43351716 90.4247438990064 POTEA
chr8 43499825 70.8595783443155 LOC105379397
